상품명,화면크기,최대 해상도,최대 주사율,패널,곡면형,응답속도,별점,성능점수
인터픽셀 IP2722 75,27,UHD,60,IPS,평면,0.5,4.27,9
인터픽셀 IP2740 게이밍 165,27,FHD,144,VA,평면,0.1,3.83,4
한성컴퓨터 ULTRON 2768 BLADE New,27,UHD,144,IPS,평면,0.1,3.79,12
삼성전자 삼성 커브드 C27R502 베젤리스 프리싱크,27,QHD,165,IPS,평면,0.5,4.89,7
삼성전자 삼성 F27T350,27,FHD,144,VA,평면,0.5,3.53,3
LG전자 27MK430H,27,FHD,75,VA,평면,0.5,4.14,1
LG전자 27TN600S,27,QHD,240,TN,평면,0.5,4.12,7
필립스 271E1 프리싱크 75 시력보호 제로베젤,27,FHD,75,IPS,평면,0.4,4.88,1
MSI 옵틱스 G271 게이밍 144 아이세이버,27,QHD,75,IPS,평면,0.5,4.04,5
LG전자 울트라기어 27GP850,27,FHD,75,IPS,평면,0.5,3.93,1
LG전자 울트라HD 27UL550,27,UHD,60,IPS,평면,0.5,4.11,9
LG전자 27QN600,27,FHD,60,IPS,평면,0.5,3.67,1
LG전자 울트라기어 27GP750,27,FHD,240,IPS,평면,0.1,4.15,4
벤큐 GW2780 아이케어,27,FHD,60,IPS,평면,0.5,3.69,1
LG전자 27UP850N,27,UHD,60,IPS,평면,0.5,3.8,9
삼성전자 오디세이 G3 S27AG300 144,27,FHD,144,VA,평면,0.1,4.02,4
LG전자 울트라기어 27GN650,27,FHD,144,IPS,평면,0.1,4.28,4
DELL S2721DS,27,QHD,75,IPS,평면,0.5,4.18,5
LG전자 27MN430HW,27,FHD,75,IPS,평면,0.5,4.88,1
삼성전자 오디세이 G5 C27G54T,27,FHD,75,IPS,평면,0.5,3.73,1
삼성전자 삼성 S27R350,27,FHD,75,IPS,평면,0.5,4.08,1
삼성전자 스마트모니터 M5 S27AM501,27,FHD,60,VA,평면,0.8,3.57,1
알파스캔 AOC Q27G2S 155,27,QHD,155,IPS,평면,0.1,4.11,8
인터픽셀 IP2742,27,FHD,165,VA,커브드,0.1,4.54,4
LG전자 27TQ600SY,27,FHD,75,IPS,평면,0.5,3.88,1
DELL S2721HN,27,QHD,75,IPS,평면,0.5,3.56,5
LG전자 울트라와이드 29WP500,27,FHD,75,IPS,평면,0.5,3.67,1
주연테크 V28UE,27,UHD,60,IPS,평면,0.4,3.84,9
한성컴퓨터 ULTRON 2760G 리얼 144,27,QHD,165,IPS,평면,0.1,3.89,8
한성컴퓨터 TFG27F16V 1500R 리얼 165 게이밍,27,FHD,60,VA,평면,0.4,3.67,1
삼성전자 삼성 M5 S27BM500,27,FHD,165,VA,평면,0.5,3.84,3
LG전자 27ML600SW,27,QHD,144,VA,평면,0.1,4.59,8
한성컴퓨터 TFG27Q14F QHD 평면 144 게이밍,27,FHD,75,VA,평면,0.5,3.82,1
한성컴퓨터 ULTRON 2758 프리싱크 리얼 75,27,FHD,75,VA,커브드,0.4,4.46,1
한성컴퓨터 TFG27F07V 1500R 커브드 게이밍,27,FHD,75,VA,평면,0.5,4.11,1
삼성전자 27인치(68.6cm) F27T350 3면 베젤리스 75Hz 모니터 LF27T350FHKXKR 프리싱크 IPS패널,27,UHD,60,IPS,평면,0.4,4.56,9
주연테크 V28UE-M,27,FHD,75,VA,평면,0.5,3.57,1
티투코리아 인포트 T27F1,27,UHD,60,IPS,평면,0.5,3.66,9
LG전자 27MK600M,27,QHD,75,IPS,평면,0.5,3.91,5
삼성 27인치 컴퓨터 모니터 C27R502 LC27R502FHKXKR freesync VA패널,27,FHD,75,IPS,평면,0.5,4.84,1
삼성전자 27인치(68.6cm) F27T450 3면 베젤리스 75Hz 세로 모니터 LF27T450FQKXKR 피벗 높낮이조절 S27R650 LS27R650FDKXKR,27,QHD,165,IPS,평면,0.1,3.73,8
포인트프로덕트 27GM01,27,QHD,165,VA,커브드,0.1,3.91,8
제이씨현시스템 유디아 LOOK 270 IPSA 유케어 시력보호 블랙,27,FHD,240,TN,평면,0.5,4.42,3
DELL P2722H,27,UHD,60,IPS,평면,0.5,3.61,9
DELL 울트라샤프 U2722D,27,FHD,75,IPS,평면,0.5,3.53,1
알파스캔 AOC 27B2 보더리스 75 시력보호,27,FHD,75,IPS,평면,0.5,4.59,1
제이씨현시스템 유디아 EDGE ED2720NA 유케어 75 시력보호,27,QHD,75,IPS,평면,0.5,3.75,5
24인치모니터 컴퓨터모니터 게이밍 모니터 FHD 75hz PC 듀얼,27,FHD,75,IPS,평면,0.5,4.44,1
삼성전자 삼성 S27B610 75,27,QHD,165,IPS,평면,0.1,4.88,8
삼성전자 삼성 F27T450,27,QHD,75,IPS,평면,0.5,3.87,5
LG전자 27MP400,27,UHD,60,IPS,평면,0.5,3.83,9
삼성전자 오디세이 G5 G52A S27AG520 165,27,FHD,60,VA,커브드,0.4,4.62,1
LG전자 울트라기어 27GP830,27,QHD,165,VA,커브드,0.1,3.56,8
한성컴퓨터 TFG27F14P IPS 144,27,FHD,240,IPS,평면,0.1,3.94,4
삼성전자 삼성 C27R500,27,FHD,240,TN,평면,0.5,3.77,3
삼성전자 오디세이 G4 S27BG400,27,FHD,75,VA,평면,0.5,3.6,1
벤큐 조위 XL2746K,27,FHD,60,VA,평면,0.6,4.06,1
삼성전자 스마트 모니터 M5 27인치(68.6cm) 화이트 S27AM501 LS27AM501NKXKR 스피커 넷플릭스 유튜브 미러링,27,QHD,75,IPS,평면,0.1,4.78,6
정림전자 지마스타 JG271C6741 1500R 리얼 165 HDR 게이밍,27,FHD,144,VA,평면,0.1,4.91,4
제이씨현시스템 유디아 LOOK LK2720LA 유케어 75 시력보호 HVA,27,FHD,75,IPS,평면,0.5,3.6,1
디엘티 모넥스 S27FHM,27,FHD,165,TN,평면,0.5,4.12,3
삼성전자 오디세이 G7 S28AG700 144,27,FHD,60,IPS,평면,0.5,4.08,1
제이씨현시스템 유디아 EDGE ED2720NB 유케어 QHD 프리싱크 75,27,FHD,75,IPS,평면,0.5,4.41,1
필립스 272E 게이밍 144 프리싱크,27,QHD,165,IPS,평면,0.1,4.48,8
한성컴퓨터 TFG27Q14P 144,27,QHD,165,IPS,평면,0.1,4.63,8
LG전자 28TN525S,27,FHD,165,VA,평면,0.1,4.71,4
크로스오버존 크로스오버 2750IPS 75,27,FHD,75,IPS,평면,0.5,4.33,1
리버텍 픽셀아트 PAU2810F IPS 리얼 4K UHD HDR,27,FHD,144,IPS,평면,0.1,3.6,4
벤큐 GW2780T,27,FHD,165,TN,평면,0.1,4.11,4
삼성전자 삼성 S27R650,27,FHD,165,VA,커브드,0.1,4.52,4
DELL S2721DGF,27,QHD,165,IPS,평면,0.5,4.95,7
HP X27q QHD 165,27,QHD,165,IPS,평면,0.1,4.69,8
LG전자 울트라기어 27GQ50F 165,27,FHD,165,IPS,평면,0.1,4.19,4
LG전자 27MP500W,27,QHD,75,IPS,평면,0.5,4.64,5
벤큐 모비우스 EX2710,27,QHD,165,TN,평면,0.1,3.74,8
벤큐 XL2731K 165,27,FHD,75,IPS,평면,0.5,3.81,1
제이씨현시스템 유디아 EDGE 27CH3L 유케어 165 커브드 홈게임,27,FHD,75,VA,평면,0.4,4.87,1
알파스캔 C27G2 게이밍 144 프리싱크,27,QHD,240,VA,커브드,0.1,3.71,8
큐닉스그룹 큐닉스 QHD27L 165,27,FHD,75,IPS,평면,0.5,3.57,1
HP X27 FHD 165,27,FHD,144,VA,평면,0.1,4.06,4
제이씨현시스템 유디아 EDGE 2720 유케어 IPS UV 살균 시력보호,27,FHD,165,IPS,평면,0.1,4.98,4
한성컴퓨터 TFG27F07FB,27,QHD,75,IPS,평면,0.5,3.93,5
삼성전자 오디세이 G6 S27BG650,27,QHD,75,IPS,평면,0.5,4.79,5
LG전자 울트라와이드 28MQ780,27,UHD,60,IPS,평면,0.5,4.85,9
한성컴퓨터 TFG27F16FB,27,UHD,144,IPS,평면,0.1,4.91,12
알파스캔 AOC Q27G2 게이밍 QHD 144 프리싱크 무결점,27,UHD,60,IPS,평면,0.5,3.75,9
LG전자 울트라HD 27UN880,27,UHD,144,IPS,평면,0.1,3.78,12
크로스오버존 크로스오버 2757IPS,27,FHD,100,IPS,평면,0.5,4.85,1
LG전자 룸앤TV / 27TQ600SW / F - [즉시출고],27,QHD,165,VA,평면,0.1,4.82,8
래안텍 27QAF65CE 165,27,QHD,75,IPS,평면,0.5,4.52,5
한성컴퓨터 TFG27Q14V 1500R 리얼 144 게이밍,27,FHD,75,IPS,평면,0.5,3.97,1
주연테크 V27UI-60M,27,UHD,60,IPS,평면,0.5,3.55,9
LG전자 울트라기어 27GP95R,27,QHD,75,IPS,평면,0.5,4.21,5
LG전자 울트라와이드 29WQ600,27,FHD,75,IPS,평면,0.5,4.63,1
주연테크 X27Q 165,27,FHD,165,IPS,평면,0.1,4.15,4
LG전자 27QN880,27,QHD,144,VA,평면,0.1,5.0,8
알파스캔 AOC 27G2 게이밍 144 프리싱크,27,FHD,75,IPS,평면,0.4,4.23,1
어드밴스원디앤티 어드밴스원 AV-270KL 75,27,QHD,165,IPS,평면,0.1,4.01,8
LG전자 울트라HD 27UP650,27,FHD,144,IPS,평면,0.5,3.65,3
벤큐 모비우스 EX2710Q 165,27,QHD,165,VA,평면,0.1,3.74,8
디엘티 모넥스 M27FHM144 게이밍 144,27,UHD,60,IPS,평면,0.5,3.62,9
큐닉스그룹 큐닉스 QX2716 REAL 165 HDR PLUS,27,UHD,60,IPS,평면,0.4,4.93,9
디엘티 모넥스 M27CQHM 평면 게이밍 144,27,QHD,75,IPS,평면,0.5,4.94,5
필립스 271V 프리싱크 75 게이밍 시력보호,27,FHD,75,IPS,평면,0.5,4.77,1
크로스오버존 크로스오버 27LG3Q 165,27,FHD,75,IPS,평면,0.5,3.51,1
제이씨현시스템 유디아 EDGE ED2720GX 유케어 IPS 게이밍 165,27,FHD,75,VA,평면,0.5,4.48,1
큐닉스그룹 큐닉스 QX27QHD REAL 165 PIVOT,27,FHD,75,IPS,평면,0.5,4.02,1
DELL S2721QS,27,FHD,75,VA,평면,0.5,4.95,1
삼성전자 삼성 C27T550,27,FHD,165,VA,평면,0.1,3.82,4
삼성전자 27인치 컴퓨터 모니터 F27T350 LF27T350FHKXKR 75Hz 눈이 편안한 플리커프리,27,UHD,60,IPS,평면,0.5,4.82,9
삼성전자 삼성 S27A400U 75,27,FHD,75,IPS,평면,0.5,4.51,1
삼성전자 F27T350FHKX/KR 27인치 LED 컴퓨터 모니터 슬림베젤 IPS 75Hz,27,FHD,75,IPS,평면,0.5,4.24,1
대원씨티에스 루밍 DW27F1OM 오피스,27,QHD,75,IPS,평면,0.1,4.73,6
알파스캔 27BA61PR 75 무결점,27,QHD,60,IPS,평면,0.5,4.05,5
LG전자 울트라기어 27GL850,27,QHD,75,IPS,평면,0.5,4.17,5
크로스오버존 크로스오버 2890CU,27,FHD,144,IPS,평면,0.1,4.21,4
MSI 옵틱스 G27C5 게이밍 165 아이세이버,27,FHD,60,IPS,평면,1.4,4.21,1
크로스오버존 크로스오버 27UAA5,27,FHD,60,IPS,평면,0.5,3.77,1
알파스캔 27V2Q 프리싱크 75 DP 시력보호,27,QHD,60,IPS,평면,0.5,4.58,5
HP M27FW 75Hz,27,FHD,75,VA,평면,0.5,4.78,1
삼성전자 삼성 C27F391,27,QHD,75,IPS,평면,0.5,4.25,5
이지아이티시스템 APEX APEX-27QHD75,27,FHD,144,VA,커브드,0.1,4.11,4
인터픽셀 IP2720,27,QHD,75,IPS,평면,0.5,4.38,5
인터픽셀 IPQ2720,27,FHD,75,IPS,평면,0.5,4.38,1
필립스 272M 게이밍 144 프리싱크,27,FHD,60,VA,평면,0.4,4.54,1
DELL E2722HS,27,UHD,60,IPS,평면,0.5,3.95,9
DELL P2723D,27,FHD,75,IPS,평면,0.5,4.65,1
래안텍 EdgeArt F2775K 화이트슬림 프리싱크 리얼75 게이밍,27,FHD,60,VA,평면,0.8,3.58,1
비트엠 NEWSYNC B2775Q IPS HDR,27,FHD,240,IPS,평면,0.1,4.88,4
크로스오버존 크로스오버 Q27V6 75,27,FHD,144,IPS,평면,0.1,4.02,4
한성컴퓨터 TFG27Q14VQ 퀀텀닷 1500R 리얼 144 게이밍,27,FHD,144,IPS,평면,0.1,4.58,4
그린디스플레이 ECO GD27QHD DP 제로베젤,27,FHD,240,IPS,평면,0.1,3.55,4
삼성전자 삼성 C27F390,27,FHD,75,VA,평면,0.4,3.83,1
삼성전자 삼성 S27F350,27,FHD,144,VA,평면,0.1,3.54,4
래안텍 Q2795S IPS 95,27,UHD,60,IPS,평면,0.5,3.9,9
삼성전자 스마트모니터 S27BM501,27,QHD,60,IPS,평면,0.5,4.07,5
삼성전자 27인치(68.6cm) S27R350 3면 베젤리스 모니터 프리싱크 75Hz LS27R350FHKXKR,27,QHD,144,VA,평면,0.1,4.25,8
삼성전자 스마트모니터 M5 S27AM500,27,FHD,75,IPS,평면,0.5,4.21,1
주연테크 X27FI-240 IPS,27,FHD,75,IPS,평면,0.5,4.34,1
제이씨현시스템 유디아 EDGE ED2720GX 유케어 144 홈게임,27,FHD,75,IPS,평면,0.5,4.17,1
어드밴스원디앤티 어드밴스원 AV-C27V1500R 200,27,FHD,144,IPS,평면,0.1,4.57,4
벤큐 모비우스 MOBIUZ EX270M 무결점 27인치 게이밍 모니터 / FHD IPS 패널 / 240Hz 1ms GTG / HDR / AMD 프리싱크프리미엄 / treVolo,27,FHD,75,IPS,평면,0.5,3.86,1
주연테크 V27QE 75,27,UHD,60,IPS,평면,0.5,4.41,9
DELL 에일리언웨어 AW2720HF,27,QHD,60,IPS,평면,0.5,4.28,5
DELL SE2722H,27,FHD,75,IPS,평면,0.5,3.83,1
알파스캔 AOC G2790 144 무결점,27,UHD,60,IPS,평면,0.5,3.9,9
벤큐 EW2780Q QHD 아이케어,27,QHD,75,IPS,평면,0.5,4.21,5
필립스 275M QHD 게이밍 144 프리싱크,27,QHD,75,IPS,평면,0.7,4.91,5
벤큐 GW2785TC 75,27,FHD,60,VA,평면,0.8,3.83,1
LG전자 울트라와이드 29WL500,27,UHD,60,IPS,평면,0.4,3.7,9
클라인즈 K27MFC,27,UHD,60,IPS,평면,0.5,3.52,9
삼성전자 삼성 S27R35A,27,QHD,165,IPS,평면,0.1,3.55,8
MSI MAG274QRF 165,27,FHD,75,IPS,평면,0.4,4.44,1
크로스오버존 크로스오버 F2799 IPS FHD HDR 평면,27,FHD,165,VA,평면,0.4,4.32,3
삼성전자 뷰피니티 S8 S27B800,27,FHD,144,IPS,평면,0.5,3.65,3
LG전자 27BQ70QC,27,QHD,75,VA,평면,0.3,4.15,5
LG 세로 모니터 27인치 4K UHD IPS 피벗 울트라HD,27,FHD,165,VA,평면,0.1,3.85,4
인터픽셀 IPQ2743 165,27,FHD,75,IPS,평면,0.5,4.84,1
어드밴스원디앤티 어드밴스원 AV-27F165K 165,27,QHD,75,IPS,평면,0.4,4.96,5
주연테크 V27Q-75,27,QHD,165,IPS,평면,0.5,4.2,7
제이씨현시스템 유디아 EDGE ED2735NA 유케어 QHD 홈엔터,27,QHD,170,VA,커브드,0.1,4.02,8
삼성전자 S27AM503,27,QHD,165,IPS,평면,0.1,4.6,8
알파스캔 AOC U28P UHD 무결점,27,QHD,240,VA,평면,0.1,4.74,8
삼성전자 삼성 S27A700,27,FHD,165,VA,평면,0.1,4.8,4
인터픽셀 IPQ2742 게이밍 IPS 165,27,FHD,60,IPS,평면,1.4,4.09,1
필립스 273E1 프리싱크 75 시력보호 화이트 높낮이,27,UHD,60,IPS,평면,0.5,4.74,9
정림전자 지마스타 JG271L6741 리얼 165 HDR 게이밍,27,FHD,144,IPS,평면,0.5,4.67,3
주연테크 X27FI-144 IPS,27,QHD,75,IPS,평면,0.5,4.49,5
큐닉스그룹 큐닉스 QX27D1 QHD 75 퀀텀닷 HDR,27,FHD,144,TN,평면,0.1,4.48,4
삼성전자 27인치 슈퍼슬림 S27F350 모니터 LS27F350FHKXKR,27,FHD,240,IPS,평면,0.1,4.53,4
제이씨현시스템 유디아 EDGE 27SM3 V2 유케어 165 게이밍,27,QHD,75,IPS,평면,0.5,4.26,5
HP M27F,27,FHD,240,IPS,평면,0.1,4.04,4
주연테크 X27QI-165M,27,FHD,165,VA,커브드,0.1,3.56,4
크로스오버존 크로스오버 Q27V5 IPS QHD 리얼 75 HDR,27,FHD,75,IPS,평면,0.5,4.44,1
MSI MAG281URF 144,27,FHD,75,IPS,평면,0.4,4.1,1
벤큐 GW2780 아이케어 27인치 무결점 모니터,27,FHD,75,IPS,평면,0.5,3.69,1
MSI G27CQ4 E2 170,27,QHD,144,IPS,평면,0.1,4.99,8
주연테크 X27F-240A,27,QHD,165,VA,평면,0.1,4.81,8
HP OMEN 27i,27,FHD,60,IPS,평면,0.5,4.44,1
HP OMEN 27c,27,QHD,165,IPS,평면,0.1,4.45,8
알파스캔 27G2SE 165 무결점,27,FHD,75,VA,평면,0.4,3.81,1
LG전자 27TQ615SP,27,FHD,240,TN,평면,0.1,3.76,4
LG전자 울트라HD 27UP850,27,FHD,165,VA,평면,0.1,3.73,4
